	state
GSM3428716_HCC_17T.CEL.gz	Tumor
GSM3428717_HCC_32T.CEL.gz	Tumor
GSM3428718_HCC_37T.CEL.gz	Tumor
GSM3428719_HCC_38T.CEL.gz	Tumor
GSM3428720_HCC_40T.CEL.gz	Tumor
GSM3428721_HCC_42T.CEL.gz	Tumor
GSM3428722_HCC_43T.CEL.gz	Tumor
GSM3428723_HCC_44T.CEL.gz	Tumor
GSM3428724_HCC_45T.CEL.gz	Tumor
GSM3428725_HCC_53T.CEL.gz	Tumor
GSM3428726_HCC_54T.CEL.gz	Tumor
GSM3428727_HCC_55T.CEL.gz	Tumor
GSM3428728_HCC_56T.CEL.gz	Tumor
GSM3428729_HCC_60T.CEL.gz	Tumor
GSM3428730_HCC_62T.CEL.gz	Tumor
GSM3428731_HCC_64T.CEL.gz	Tumor
GSM3428732_HCC_65T.CEL.gz	Tumor
GSM3428733_HCC_66T.CEL.gz	Tumor
GSM3428734_HCC_67T.CEL.gz	Tumor
GSM3428735_HCC_68T.CEL.gz	Tumor
GSM3428736_HCC_71T.CEL.gz	Tumor
GSM3428737_HCC_72T.CEL.gz	Tumor
GSM3428738_HCC_73T.CEL.gz	Tumor
GSM3428739_HCC_75T.CEL.gz	Tumor
GSM3428740_HCC_77T.CEL.gz	Tumor
GSM3428741_HCC_78T.CEL.gz	Tumor
GSM3428742_HCC_79T.CEL.gz	Tumor
GSM3428743_HCC_80T.CEL.gz	Tumor
GSM3428744_HCC_81T.CEL.gz	Tumor
GSM3428745_HCC_82T.CEL.gz	Tumor
GSM3428746_HCC_83T.CEL.gz	Tumor
GSM3428747_HCC_84T.CEL.gz	Tumor
GSM3428748_HCC_85T.CEL.gz	Tumor
GSM3428749_HCC_87T.CEL.gz	Tumor
GSM3428750_HCC_88T.CEL.gz	Tumor
GSM3428751_HCC_89T.CEL.gz	Tumor
GSM3428752_HCC_92T.CEL.gz	Tumor
GSM3428753_HCC_93T.CEL.gz	Tumor
GSM3428754_HCC_95T.CEL.gz	Tumor
GSM3428755_HCC_97T.CEL.gz	Tumor
GSM3428756_HCC_101T.CEL.gz	Tumor
GSM3428757_HCC_102T.CEL.gz	Tumor
GSM3428758_HCC_104T.CEL.gz	Tumor
GSM3428759_HCC_106T.CEL.gz	Tumor
GSM3428760_HCC_107T.CEL.gz	Tumor
GSM3428761_HCC_108T.CEL.gz	Tumor
GSM3428762_HCC_126T.CEL.gz	Tumor
GSM3428763_HCC_127T.CEL.gz	Tumor
GSM3428764_HCC_132T.CEL.gz	Tumor
GSM3428765_HCC_133T.CEL.gz	Tumor
GSM3428766_HCC_146T.CEL.gz	Tumor
GSM3428767_HCC_152T.CEL.gz	Tumor
GSM3428768_HCC_154T.CEL.gz	Tumor
GSM3428769_HCC_157T.CEL.gz	Tumor
GSM3428770_HCC_162T.CEL.gz	Tumor
GSM3428771_HCC_165T.CEL.gz	Tumor
GSM3428772_HCC_166T.CEL.gz	Tumor
GSM3428773_HCC_167T.CEL.gz	Tumor
GSM3428774_HCC_168T.CEL.gz	Tumor
GSM3428775_HCC_169T.CEL.gz	Tumor
GSM3428776_HCC_170T.CEL.gz	Tumor
GSM3428777_HCC_171T.CEL.gz	Tumor
GSM3428778_HCC_172T.CEL.gz	Tumor
GSM3428779_HCC_173T.CEL.gz	Tumor
GSM3428780_HCC_174T.CEL.gz	Tumor
GSM3428781_HCC_175T.CEL.gz	Tumor
GSM3428782_HCC_176T.CEL.gz	Tumor
GSM3428783_HCC_177T.CEL.gz	Tumor
GSM3428784_HCC_178T.CEL.gz	Tumor
GSM3428785_HCC_179T.CEL.gz	Tumor
GSM3428786_HCC_53N.CEL.gz	Normal
GSM3428787_HCC_56N.CEL.gz	Normal
GSM3428788_HCC_60N.CEL.gz	Normal
GSM3428789_HCC_62N.CEL.gz	Normal
GSM3428790_HCC_64N.CEL.gz	Normal
GSM3428791_HCC_65N.CEL.gz	Normal
GSM3428792_HCC_66N.CEL.gz	Normal
GSM3428793_HCC_67N.CEL.gz	Normal
GSM3428794_HCC_68N.CEL.gz	Normal
GSM3428795_HCC_71N.CEL.gz	Normal
GSM3428796_HCC_72N.CEL.gz	Normal
GSM3428797_HCC_73N.CEL.gz	Normal
GSM3428798_HCC_75N.CEL.gz	Normal
GSM3428799_HCC_77N.CEL.gz	Normal
GSM3428800_HCC_78N.CEL.gz	Normal
GSM3428801_HCC_79N.CEL.gz	Normal
GSM3428802_HCC_80N.CEL.gz	Normal
GSM3428803_HCC_81N.CEL.gz	Normal
GSM3428804_HCC_82N.CEL.gz	Normal
GSM3428805_HCC_83N.CEL.gz	Normal
GSM3428806_HCC_84N.CEL.gz	Normal
GSM3428807_HCC_85N.CEL.gz	Normal
GSM3428808_HCC_162N.CEL.gz	Normal
GSM3428809_HCC_165N.CEL.gz	Normal
GSM3428810_HCC_166N.CEL.gz	Normal
GSM3428811_HCC_167N.CEL.gz	Normal
GSM3428812_HCC_168N.CEL.gz	Normal
GSM3428813_HCC_169N.CEL.gz	Normal
GSM3428814_HCC_170N.CEL.gz	Normal
GSM3428815_HCC_171N.CEL.gz	Normal
GSM3428816_HCC_172N.CEL.gz	Normal
GSM3428817_HCC_173N.CEL.gz	Normal
GSM3428818_HCC_174N.CEL.gz	Normal
GSM3428819_HCC_175N.CEL.gz	Normal
GSM3428820_HCC_176N.CEL.gz	Normal
GSM3428821_HCC_177N.CEL.gz	Normal
GSM3428822_HCC_178N.CEL.gz	Normal
