"","GSM239371.CEL.gz","GSM239487.CEL.gz","GSM239489.CEL.gz","GSM239492.CEL.gz","GSM239497.CEL.gz","GSM239520.CEL.gz","GSM240427.CEL.gz"
"1007_s_at",580.084938065672,330.846686850399,646.172593907739,233.30974938288,592.45977698049,302.529548537826,484.080439101103
"1053_at",177.263200853322,481.236069374945,403.397473492224,424.53277767705,160.03694765572,424.150850032192,425.724313618249
"117_at",193.424235898919,415.182137950858,206.886486353509,209.396458507678,444.149420967644,351.61200536656,30.7670098350817
"121_at",2204.71732620539,1291.56879722989,2714.17179804017,1997.91978047408,2529.13880466011,1183.28611466605,2382.69763284001
"1255_g_at",90.3953799133179,90.9441070870196,158.529477001258,112.383626513743,131.503341896738,34.1217808943891,123.475897889113
"1294_at",1011.76763676498,574.18628536658,1413.58639457082,1490.30740715985,1399.46930970822,665.33983384678,1452.05508309344
"1316_at",263.229864576102,138.570636948615,323.20588815946,214.334483551395,300.655665798785,74.5541942331148,196.619564959426
"1320_at",25.5641974073086,24.4266904917616,30.3747501354066,122.723543633561,44.0403751529121,90.3502028928167,117.02009820693
"1405_i_at",113.992552036922,55.1081152291425,224.806900803237,229.113747478657,572.57121147983,2883.68546308532,284.281779398484
"1431_at",109.96975503579,83.566488500065,110.682614847141,110.513059009852,115.779792214446,36.4653354583243,102.328483452909
"1438_at",47.5582998989527,49.7476974078437,149.82420033443,33.9371645462983,159.367807383054,302.179266552482,84.3514426725083
"1487_at",419.646839609817,660.272440528028,545.357492365555,670.51852955359,831.031294442142,825.518412368684,532.474199623994
"1494_f_at",503.901901862126,318.965415966127,557.549902095144,448.170129214982,635.218411630202,293.490116586705,474.809515612185
"1598_g_at",929.306995582569,1027.08254366519,1321.76974530547,888.577571643393,966.488802668006,939.756460573662,1328.3945387692
"160020_at",833.069276521834,570.673592047509,1087.06459085546,769.951624126496,1060.19046758274,680.848607064617,883.956446037336
"1729_at",387.932772305545,427.38138043712,590.776958218996,557.724656368425,571.001428560251,470.07996335086,526.269616782908
"177_at",241.409595243759,140.155066047775,267.148688850073,276.494724190519,472.97248520873,102.428129358516,194.030527868651
"1773_at",90.2743886113334,139.75474525826,127.40845724966,159.028105555393,163.709805908091,161.637736282793,370.650796343975
"179_at",1094.95473288099,835.304527377302,1355.73095674789,1189.47724290768,2192.14780094055,1297.20232510455,1161.96154867572
"1861_at",255.022149754403,159.309385492418,240.97567377049,208.900241129707,161.737478888953,211.332795356723,218.091932791081
"200000_s_at",2091.1863175979,2368.06381988136,2397.21715584238,2567.32515855149,2386.84715235776,1474.40034440788,3141.69775093517
"200001_at",3770.90765410438,4389.1023429033,4020.52295227781,3486.47870707192,3111.92659248954,7634.27749294839,4938.03200234089
"200002_at",25564.1214682013,17414.4906142675,27457.320318262,21433.9193269038,27130.7973404585,11983.1430014409,14132.4835119182
"200003_s_at",40784.2734215288,23261.3274735299,39303.4520425193,31373.069471346,43579.4965926542,15026.0656427142,21704.7209282379
"200004_at",9697.70459616543,8269.76218437182,7151.48342999332,9353.13107085585,5166.18400290209,5998.19072815471,5835.39650003761
"200005_at",6609.03193092743,6281.72835909838,5052.10519128896,5108.94951179016,5562.48659682288,3767.0822885667,3828.01045932241
"200006_at",9929.29068963977,10050.8511564849,8750.71811146914,7192.6507086219,8699.07713536173,7243.14655286044,5697.0364125312
"200007_at",8039.25053283287,5119.01468420567,7296.12890465883,6598.5790604952,6462.59851724949,6089.0555275689,5566.26508827777
"200008_s_at",3075.87985186859,4125.59458061747,2247.22795615922,3034.76726459214,3233.38865324018,2777.96794560857,4163.22767263783
"200009_at",8562.64301092917,9364.46224758103,7567.36036526097,8109.13853250861,6968.78408732137,5383.12062177365,7131.88803995457
"200010_at",25433.0736215286,15991.1670307472,24156.7504771354,19180.8200951801,31942.6064054658,12083.4974546779,14348.3748077483
"200011_s_at",2716.82992797769,3334.26938931186,2662.72676361317,2056.52441211916,1701.29069960745,3862.96279850253,3160.5465226376
"200012_x_at",33147.8461615491,18202.8952135939,33079.6287901984,20627.7108573292,33878.1451181685,12208.3252537658,17343.8353811635
"200013_at",23045.7744307443,14259.3913000583,23654.2939593949,19517.3029179717,27075.1263797311,8730.03518700487,12928.5300562426
"200014_s_at",3728.49312550297,3953.47343154513,3033.54541760536,2972.42751889371,3034.8720759572,2448.78085135758,2506.65880281289
"200015_s_at",2584.36918633834,3134.51490849921,2468.23697526922,1782.43305997189,2180.01631627818,2431.25094986626,3485.90004401851
"200016_x_at",30029.5012513501,15312.8645410919,28714.395082705,22932.4415093745,13150.7946182776,10392.5427043412,16994.0269387375
"200017_at",33125.9078711693,17605.2218376985,22385.9319510587,20362.647908418,27396.7232180781,11837.6046789131,21838.5509374716
