Entry	Entry name	Gene names
A0AVI4	TM129_HUMAN	TMEM129
A0AVK6	E2F8_HUMAN	E2F8
A0JLT2	MED19_HUMAN	MED19 LCMR1
A0JNW5	UH1BL_HUMAN	UHRF1BP1L KIAA0701 SHIP164
A0PJY2	FEZF1_HUMAN	FEZF1 FEZ ZNF312B
A1A4Y4	IRGM_HUMAN	IRGM IFI1 IRGM1 LRG47
A1A519	F170A_HUMAN	FAM170A ZNFD
A1A5B4	ANO9_HUMAN	ANO9 PIG5 TMEM16J TP53I5
A1E959	ODAM_HUMAN	ODAM APIN
A1L020	MEX3A_HUMAN	MEX3A RKHD4
A1L167	U2QL1_HUMAN	UBE2QL1
A1L188	NDUF8_HUMAN	NDUFAF8 C17orf89
A1L3X0	ELOV7_HUMAN	ELOVL7
A1XBS5	FA92A_HUMAN	FAM92A FAM92A1
A1Z1Q3	MACD2_HUMAN	MACROD2 C20orf133
A2A288	ZC12D_HUMAN	ZC3H12D C6orf95 MCPIP4 TFL
A2RRP1	NBAS_HUMAN	NBAS NAG
A2RUB6	CCD66_HUMAN	CCDC66
A2RUT3	TMM89_HUMAN	TMEM89
A2VDJ0	T131L_HUMAN	TMEM131L KIAA0922
A3KMH1	VWA8_HUMAN	VWA8 KIAA0564
A4D0V7	CPED1_HUMAN	CPED1 C7orf58 UNQ9432/PRO34713
A4D1P6	WDR91_HUMAN	WDR91 HSPC049
A4D1T9	PRS37_HUMAN	PRSS37 TRYX2
A4FU49	SH321_HUMAN	SH3D21 C1orf113
A5PLL7	TM189_HUMAN	TMEM189 KUA
A5YKK6	CNOT1_HUMAN	CNOT1 CDC39 KIAA1007 NOT1 AD-005
A6ND36	FA83G_HUMAN	FAM83G PAWS1
A6NDU8	CE051_HUMAN	C5orf51
A6NDV4	TMM8B_HUMAN	TMEM8B C9orf127 NGX6
A6NED2	RCCD1_HUMAN	RCCD1
A6NFQ2	TCAF2_HUMAN	TCAF2 FAM115C FAM139A
A6NGC4	TLCD2_HUMAN	TLCD2
A6NHX0	CAST2_HUMAN	CASTOR2 GATSL1 GATSL2
A7E2F4	GOG8A_HUMAN	GOLGA8A KIAA0855
A7KAX9	RHG32_HUMAN	ARHGAP32 GRIT KIAA0712 RICS
A8MQT2	GOG8B_HUMAN	GOLGA8B
A8MVW5	HECA2_HUMAN	HEPACAM2 MIKI UNQ305/PRO346
A9UHW6	MI4GD_HUMAN	MIF4GD SLIP1
A9YTQ3	AHRR_HUMAN	AHRR BHLHE77 KIAA1234
B0I1T2	MYO1G_HUMAN	MYO1G HA2
B0YJ81	HACD1_HUMAN	HACD1 PTPLA
B2RXF5	ZBT42_HUMAN	ZBTB42
C9JLW8	MCRI1_HUMAN	MCRIP1 FAM195B GRAN2
C9JRZ8	AK1BF_HUMAN	AKR1B15
D6RGH6	MCIN_HUMAN	MCIDAS IDAS MCI MCIN
O00116	ADAS_HUMAN	AGPS AAG5
O00124	UBXN8_HUMAN	UBXN8 D8S2298E REP8 UBXD6
O00139	KIF2A_HUMAN	KIF2A KIF2 KNS2
O00141	SGK1_HUMAN	SGK1 SGK
O00144	FZD9_HUMAN	FZD9 FZD3
O00148	DX39A_HUMAN	DDX39A DDX39
O00154	BACH_HUMAN	ACOT7 BACH
O00159	MYO1C_HUMAN	MYO1C
O00161	SNP23_HUMAN	SNAP23
O00165	HAX1_HUMAN	HAX1 HS1BP1
O00167	EYA2_HUMAN	EYA2 EAB1
O00170	AIP_HUMAN	AIP XAP2
O00182	LEG9_HUMAN	LGALS9
O00186	STXB3_HUMAN	STXBP3
O00198	HRK_HUMAN	HRK BID3
O00204	ST2B1_HUMAN	SULT2B1 HSST2
O00206	TLR4_HUMAN	TLR4
O00213	APBB1_HUMAN	APBB1 FE65 RIR
O00214	LEG8_HUMAN	LGALS8
O00217	NDUS8_HUMAN	NDUFS8
O00221	IKBE_HUMAN	NFKBIE IKBE
O00231	PSD11_HUMAN	PSMD11
O00237	RN103_HUMAN	RNF103 ZFP103
O00255	MEN1_HUMAN	MEN1 SCG2
O00257	CBX4_HUMAN	CBX4
O00267	SPT5H_HUMAN	SUPT5H SPT5 SPT5H
O00268	TAF4_HUMAN	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135
O00273	DFFA_HUMAN	DFFA DFF1 DFF45 H13
O00291	HIP1_HUMAN	HIP1
O00294	TULP1_HUMAN	TULP1 TUBL1
O00299	CLIC1_HUMAN	CLIC1 G6 NCC27
O00305	CACB4_HUMAN	CACNB4 CACNLB4
O00308	WWP2_HUMAN	WWP2
O00311	CDC7_HUMAN	CDC7 CDC7L1
O00327	BMAL1_HUMAN	ARNTL BHLHE5 BMAL1 MOP3 PASD3
O00358	FOXE1_HUMAN	FOXE1 FKHL15 FOXE2 TITF2 TTF2
O00391	QSOX1_HUMAN	QSOX1 QSCN6 UNQ2520/PRO6013
O00399	DCTN6_HUMAN	DCTN6 WS3
O00401	WASL_HUMAN	WASL
O00408	PDE2A_HUMAN	PDE2A
O00411	RPOM_HUMAN	POLRMT
O00422	SAP18_HUMAN	SAP18 GIG38
O00425	IF2B3_HUMAN	IGF2BP3 IMP3 KOC1 VICKZ3
O00429	DNM1L_HUMAN	DNM1L DLP1 DRP1
O00442	RTCA_HUMAN	RTCA RPC RPC1 RTC1 RTCD1
O00443	P3C2A_HUMAN	PIK3C2A
O00444	PLK4_HUMAN	PLK4 SAK STK18
O00461	GOLI4_HUMAN	GOLIM4 GIMPC GOLPH4 GPP130
O00463	TRAF5_HUMAN	TRAF5 RNF84
O00468	AGRIN_HUMAN	AGRN AGRIN
O00478	BT3A3_HUMAN	BTN3A3 BTF3
O00481	BT3A1_HUMAN	BTN3A1 BTF5
O00482	NR5A2_HUMAN	NR5A2 B1F CPF FTF
O00483	NDUA4_HUMAN	NDUFA4
O00487	PSDE_HUMAN	PSMD14 POH1
O00488	ZN593_HUMAN	ZNF593 ZT86
O00499	BIN1_HUMAN	BIN1 AMPHL
O00501	CLD5_HUMAN	CLDN5 AWAL TMVCF
O00515	LAD1_HUMAN	LAD1 LAD
O00522	KRIT1_HUMAN	KRIT1 CCM1
O00534	VMA5A_HUMAN	VWA5A BCSC1 LOH11CR2A
O00541	PESC_HUMAN	PES1
O00555	CAC1A_HUMAN	CACNA1A CACH4 CACN3 CACNL1A4
O00560	SDCB1_HUMAN	SDCBP MDA9 SYCL
O00562	PITM1_HUMAN	PITPNM1 DRES9 NIR2 PITPNM
O00566	MPP10_HUMAN	MPHOSPH10 MPP10
O00571	DDX3X_HUMAN	DDX3X DBX DDX3
O00584	RNT2_HUMAN	RNASET2 RNASE6PL
O00590	ACKR2_HUMAN	ACKR2 CCBP2 CCR10 CMKBR9 D6
O00592	PODXL_HUMAN	PODXL PCLP PCLP1
O00623	PEX12_HUMAN	PEX12 PAF3
O00625	PIR_HUMAN	PIR
O00628	PEX7_HUMAN	PEX7 PTS2R
O00629	IMA3_HUMAN	KPNA4 QIP1
O00712	NFIB_HUMAN	NFIB
O00743	PPP6_HUMAN	PPP6C PPP6
O00746	NDKM_HUMAN	NME4 NM23D
O00750	P3C2B_HUMAN	PIK3C2B
O00757	F16P2_HUMAN	FBP2
O00762	UBE2C_HUMAN	UBE2C UBCH10
O00763	ACACB_HUMAN	ACACB ACC2 ACCB
O00764	PDXK_HUMAN	PDXK C21orf124 C21orf97 PKH PNK PRED79
O00767	ACOD_HUMAN	SCD
O14492	SH2B2_HUMAN	SH2B2 APS
