Entry	yourlist:M20200101216DA2B77BFBD2E6699CA9B6D1C41EB26D9AB2D
P04217	106523
P01023	106524
P18440	106527
P11245	106528
P01011	106530
Q13685	106532
Q16613	106533
P49588	106534
P80404	106536
O95477	106537
Q9BZC7	106538
Q99758	106539
O75027	106540
Q8NE71	106541
P78363	106542
P00519	106543
P19801	106544
P42684	106545
P16442	106546
Q12979	106547
P09110	106548
Q13085	106549
O00763	106550
P28330	106551
P11310	106552
P16219	106553
P45954	106554
P49748	106555
P24752	106556
Q9BWD1	106557
Q16515	106558
P78348	106559
P22303	106561
P53396	106563
P21399	106564
P10323	106565
Q99798	106566
Q15067	106567
P24666	106568
P11117	106569
P13686	106570
P15309	106571
P68133	106573
P62736	106574
P60709	106575
P68032	106585
P63261	106586
P63267	106587
O43707	106596
O96019	106601
P12814	106602
P35609	106603
Q08043	106604
Q04771	106605
P36896	106606
P27037	106607
Q13705	106608
P37023	106609
Q03154	106610
P07311	106612
P14621	106613
P00813	106614
O14672	106616
P55265	106617
P78563	106618
Q9NS39	106619
Q08828	106621
O60266	106623
O95622	106624
O43306	106625
P51828	106626
P40145	106627
O60503	106628
P18509	106629
P41586	106630
P35611	106631
P35612	106632
Q9UEY8	106633
Q99541	106635
P07327	106636
P00325	106637
P00326	106638
P08319	106639
P11766	106640
P28332	106642
P40394	106643
P55263	106644
P35318	106645
P30542	106646
P29274	106647
P29275	106648
P54922	106651
P09874	106652
Q9UKK3	106653
P25100	106656
P35368	106657
P35348	106658
P08913	106659
P18089	106660
P18825	106661
P08588	106662
P07550	106663
P13945	106664
P25098	106665
P35626	106666
P30566	106667
P30520	106668
O95782	106669
O94973	106670
Q10567	106671
P63010	106672
O43747	106673
Q8IUX7	106674
Q08117	106675
P43652	106681
P02771	106682
P20933	106683
Q15109	106685
P35573	106686
O00253	106688
P78504	106689
P01019	106690
P30556	106691
P50052	106692
P35414	106693
P21549	106694
P51843	106695
P23526	106696
P35869	106699
P02765	106700
P55008	106702
Q9Y4K1	106705
P00568	106706
P54819	106707
P27144	106708
P31749	106710
P31751	106711
P13716	106712
P13196	106713
P22557	106714
P02768	106715
Q13740	106716
P33897	106717
P00352	106718
P05091	106719
P30838	106720
P30837	106721
P47895	106722
P43353	106723
P48448	106724
P49189	106725
P51648	106726
Q9UBJ2	106727
P04075	106728
P05062	106730
P09972	106731
P15121	106732
Q9UM73	106739
P18054	106740
P09917	106741
P20292	106742
O75342	106743
P16050	106747
O15296	106748
P09923	106749
P05186	106750
P05187	106751
P10696	106752
O95076	106755
Q9NP70	106756
P02760	106757
P17707	106759
Q9UKV5	106764
P03971	106765
Q16671	106766
P23109	106767
Q01433	106768
Q01432	106769
P49418	106770
O00499	106771
P48728	106772
P04745	106773,106774,106775
P04746	106776
P19961	106777
P03950	106780
Q15389	106781
O15123	106782
P16157	106783
Q01484	106784
Q12955	106785
P15144	106787
P12235	106788
P05141	106789
P12236	106790
P04083	106798
P07355	106799
P12429	106803
P09525	106804
P08758	106805
P08133	106806
P20073	106807
P50995	106808
P27216	106809
O75106	106811
Q06278	106813
O14727	106814
P50583	106815
Q13790	106816
Q02410	106817
Q99767	106818
O00213	106819
Q92870	106820
P25054	106821
P02743	106822
O43918	106823
P13798	106824
P27695	106825
Q13490	106826
Q13489	106827
P98170	106828
