"","PROBEID","UNIPROT"
"1","1007_s_at","Q08345"
"2","1007_s_at","Q96T62"
"3","1007_s_at","A0A0A0MSX3"
"4","1007_s_at","Q96T61"
"5","1007_s_at","A0A024RCQ1"
"6","1007_s_at","A0A024RCL1"
"7","1007_s_at","A0A024RCJ0"
"8","1053_at","P35250"
"9","1053_at","A0A087WVY3"
"10","1053_at","Q75MT5"
"11","117_at","B3KSM6"
"12","117_at","P17066"
"13","121_at","Q06710"
"14","121_at","R9W7C9"
"15","121_at","A0A024R524"
"16","121_at","A0A024R4X8"
"17","1255_g_at","P43080"
"18","1255_g_at","B2R9P6"
"19","1294_at","P41226"
"20","1316_at","P10827"
"21","1316_at","Q6FH41"
"22","1320_at","Q16825"
"23","1405_i_at","D0EI67"
"24","1405_i_at","P13501"
"25","1431_at","P05181"
"26","1438_at","P54753"
"27","1487_at","P11474"
"28","1487_at","Q569H8"
"29","1494_f_at","P11509"
"30","1552256_a_at","Q8WTV0"
"31","1552256_a_at","A0A024RBS4"
"32","1552257_a_at","A0A024R4U3"
"33","1552257_a_at","Q14166"
"34","1552258_at",NA
"35","1552261_at","Q14508"
"36","1552263_at","P28482"
"37","1552263_at","Q1HBJ4"
"38","1552263_at","Q499G7"
"39","1552264_a_at","P28482"
"40","1552264_a_at","Q1HBJ4"
"41","1552264_a_at","Q499G7"
"42","1552266_at","B4DTC2"
"43","1552266_at","Q8TC27"
"44","1552266_at","A0A140VJD9"
"45","1552269_at","Q96L03"
"46","1552271_at","Q8IZ63"
"47","1552272_a_at","Q8IZ63"
"48","1552274_at","A0A0C4DG95"
"49","1552274_at","Q7Z7A4"
"50","1552274_at","B4DJD8"
"51","1552274_at","B4DID9"
"52","1552274_at","E9PD56"
"53","1552274_at","B4DJS8"
"54","1552274_at","W5RX72"
"55","1552275_s_at","A0A0C4DG95"
"56","1552275_s_at","Q7Z7A4"
"57","1552275_s_at","B4DJD8"
"58","1552275_s_at","B4DID9"
"59","1552275_s_at","E9PD56"
"60","1552275_s_at","B4DJS8"
"61","1552275_s_at","W5RX72"
"62","1552276_a_at","A0A024R9R3"
"63","1552276_a_at","Q9P253"
"64","1552277_a_at","A0A024R171"
"65","1552277_a_at","Q96H12"
"66","1552278_a_at","A0A024QZ44"
"67","1552278_a_at","Q96NT5"
"68","1552278_a_at","A0A024QZ15"
"69","1552279_a_at","A0A024QZ44"
"70","1552279_a_at","Q96NT5"
"71","1552279_a_at","A0A024QZ15"
"72","1552280_at","Q96H15"
"73","1552281_at","A0A024RB24"
"74","1552281_at","Q6ZMH5"
"75","1552283_s_at","Q9H8X9"
"76","1552286_at","A0A140VKA8"
"77","1552286_at","Q96A05"
"78","1552287_s_at",NA
"79","1552288_at","Q8IUL8"
"80","1552289_a_at","Q8IUL8"
"81","1552291_at","Q8TBF5"
"82","1552293_at","Q5HYL7"
"83","1552293_at","B7WNR7"
"84","1552295_a_at","Q96H72"
"85","1552296_at","Q8NFU0"
"86","1552299_at","Q5TCS8"
"87","1552301_a_at","B3KRY9"
"88","1552301_a_at","Q6QEF8"
"89","1552301_a_at","B3KSZ9"
"90","1552302_at","Q96A25"
"91","1552302_at","B7Z779"
"92","1552303_a_at","Q96A25"
"93","1552303_a_at","B7Z779"
"94","1552304_at","Q5BKT4"
"95","1552306_at","Q5BKT4"
"96","1552307_a_at","Q8N584"
"97","1552307_a_at","B7Z3X0"
"98","1552307_a_at","G3V1P2"
"99","1552309_a_at","B4DDI0"
"100","1552309_a_at","Q0ZGT2"
"101","1552309_a_at","D3DQ79"
"102","1552310_at","Q8WUR7"
"103","1552311_a_at","Q96IS3"
"104","1552312_a_at","P55082"
"105","1552314_a_at","Q99504"
"106","1552315_at","A0A090N8Z4"
"107","1552315_at","Q8WWP7"
"108","1552316_a_at","A0A090N8Z4"
"109","1552316_a_at","Q8WWP7"
"110","1552318_at","A0A090N8Z4"
"111","1552318_at","Q8WWP7"
"112","1552319_a_at","A0A0A0MQY9"
"113","1552319_a_at","O60259"
"114","1552320_a_at","B4DXQ7"
"115","1552320_a_at","Q8IXS2"
"116","1552321_a_at","B4DXQ7"
"117","1552321_a_at","Q8IXS2"
"118","1552322_at","Q6P4D5"
"119","1552322_at","B3KQY3"
"120","1552322_at","Q6P187"
"121","1552322_at","A0A087WU98"
"122","1552322_at","D3DTG4"
"123","1552322_at","B4DI96"
"124","1552323_s_at","Q6P4D5"
"125","1552323_s_at","B3KQY3"
"126","1552323_s_at","Q6P187"
"127","1552323_s_at","A0A087WU98"
"128","1552323_s_at","D3DTG4"
"129","1552323_s_at","B4DI96"
"130","1552325_at","Q96M91"
"131","1552326_a_at","Q96M91"
"132","1552327_at","F8W8Y7"
"133","1552329_at","Q7Z6E9"
"134","1552330_at","B2RD01"
"135","1552332_at","Q9H2D6"
"136","1552334_at","Q9H2D6"
"137","1552335_at","Q8NEC5"
"138","1552337_s_at","P09016"
"139","1552337_s_at","A0A087WSZ3"
"140","1552338_at","P56915"
"141","1552340_at","Q8TDD2"
"142","1552340_at","A0A024RAY8"
"143","1552343_s_at","Q13946"
"144","1552344_s_at","Q9UIV1"
"145","1552344_s_at","Q96IQ6"
"146","1552347_at","O95825"
"147","1552348_at","Q8NF86"
"148","1552349_a_at","Q8NF86"
"149","1552354_at","Q8N350"
"150","1552355_s_at","Q8N350"
"151","1552359_at","B4DXX4"
"152","1552359_at","Q4G0Z9"
"153","1552360_a_at","A0A024R3M4"
"154","1552360_a_at","P58753"
"155","1552362_a_at","Q969E1"
"156","1552364_s_at","B4DHE8"
"157","1552364_s_at","Q96DH6"
"158","1552365_at","Q9Y6U3"
"159","1552367_a_at","Q9Y6U3"
"160","1552368_at","Q8NI51"
"161","1552368_at","A6XGM9"
"162","1552368_at","V9GY73"
"163","1552368_at","A6XGM0"
"164","1552368_at","V9GYX4"
"165","1552370_at","Q8N1A6"
"166","1552372_at","Q8N1A6"
"167","1552373_s_at","Q8N1A6"
"168","1552375_at","Q96JL9"
"169","1552375_at","B3KSN8"
"170","1552377_s_at","Q96ET8"
"171","1552378_s_at","A0A024R7X6"
"172","1552378_s_at","Q8IZV5"
"173","1552379_at","A0A024R7X6"
"174","1552379_at","Q8IZV5"
"175","1552381_at","Q8WXF0"
"176","1552381_at","B3KVR7"
"177","1552383_at","B2RCB4"
"178","1552383_at","B3KQ44"
"179","1552383_at","B4DXH7"
"180","1552383_at","Q8IYT1"
"181","1552384_a_at","B2RCB4"
"182","1552384_a_at","B3KQ44"
"183","1552384_a_at","B4DXH7"
"184","1552384_a_at","Q8IYT1"
"185","1552386_at","A0A024QZS2"
"186","1552386_at","Q8N292"
"187","1552388_at","A0JP65"
"188","1552388_at","Q6ZS56"
"189","1552388_at","Q86TI6"
"190","1552388_at","Q8IWY4"
"191","1552389_at","Q6P6B1"
"192","1552390_a_at","Q6P6B1"
"193","1552391_at","Q8N715"
"194","1552393_at","Q8IYW4"
"195","1552394_a_at","Q8IYW4"
"196","1552395_at","Q96PN8"
"197","1552396_at","A0A0K0K1K0"
"198","1552396_at","Q9BQY6"
"199","1552398_a_at","Q5QGZ9"
"200","1552399_a_at","Q92994"
"201","1552399_a_at","V9HVY2"
"202","1552399_a_at","A0A024R6P8"
"203","1552400_a_at","Q2M3C6"
"204","1552401_a_at","O14867"
"205","1552402_at","B1AKR1"
"206","1552402_at","Q8TD86"
"207","1552405_at","P59047"
"208","1552408_at","C3TX97"
"209","1552408_at","Q2M2E3"
"210","1552409_a_at","C3TX97"
"211","1552409_a_at","Q2M2E3"
"212","1552410_at","B7Z704"
"213","1552410_at","B7ZMM1"
"214","1552410_at","Q8N1N0"
"215","1552411_at","Q8N104"
"216","1552412_a_at","Q8N104"
"217","1552414_at","Q8NEX5"
"218","1552415_a_at","Q8NEX5"
"219","1552417_a_at","A8K1Z3"
"220","1552417_a_at","Q8NHV4"
"221","1552417_a_at","A0A024RBE5"
"222","1552418_at","Q6ZVT0"
"223","1552419_s_at","Q6ZVT0"
"224","1552421_a_at","A0A140VJF7"
"225","1552421_a_at","Q96L12"
"226","1552422_at","Q5T742"
"227","1552423_at","P41162"
"228","1552424_at","A0A140VJM8"
